Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Baba Yuki,JPN,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0
Babadivand Mohammad,SWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Babaev Agshin,SWE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Babaev Maftun,SWE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Babahanov Bakmurad,SWE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Babakulov Daniyar,KGZ,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Babbi Angelica,KGZ,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Babbs Justin,KGZ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Babchuk Nicholas,KGZ,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Babcock Danny,KGZ,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0
Babcock Jen,KGZ,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Babcock Roy,KGZ,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Babe Marvin,USA,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0
Babene Gregory,FRA,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0
Babich Evgeni,FRA,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Babich Vasily,UKR,0.0,0.0,0.0,3.0,0.0,6.0,2.0,0
Babik Lukasz,UKR,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Babkir Victor,UKR,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baby Eduardo,UKR,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baca Andres,UKR,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baca Frank,USA,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0
Baca Moses,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Baca Vern,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bacaglini Douglas,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bacallao Josh,BRA,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0
Baccam Anthony,USA,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0
Bachman John,USA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Bachman Victor,USA,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Bachmeier Chris,USA,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0
Bachorz Andrzej,USA,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Bachu Mihai,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bachy Jeremy,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bacic Ivan,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bacik Michal,POL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Back Thomas,POL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
Backman Atte,POL,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0
Backstrom Niklas,SWE,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0
Bacon Butch,SWE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bacon Dennis,SWE,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bacon Dhiorgenys,SWE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bacon Stacy,SWE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Bacskai David,SWE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bacy Kal,SWE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baczynski Seth,USA,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0
Bad Boy David,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bad Boy Victor,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Badadivand Mohammed,USA,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Bader Ryan,USA,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0
Badger Jimmy Isaac,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Badia Eduardo,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Badilla Jonathan,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Badis Nicholas,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Badr Amira,EGY,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Badral Odbayar,EGY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Badurek Izabela,POL,5.0,4.0,0.0,0.0,2.0,5.0,1.0,0
Baduria Caloy,POL,1.0,3.0,0.0,1.0,1.0,0.0,2.0,0
Badyukov Aleksey,POL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Badía Guardiona Edgar,POL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bae Chan Ho,POL,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bae Myung Ho,POL,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0
Bae Tae,POL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bae Whi Seung,SKO,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0
Baek Hyun Ju,SKO,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baek Seung Dae,SKO,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baer Rob,SKO,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baesman Justin,USA,0.0,0.0,0.0,5.0,6.0,3.0,7.0,0
Baev Vladimir,UKR,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baez Javier,UKR,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Baez Julian,UKR,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baez Rudy,UKR,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Baeza Miguel,USA,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0
Baga Jeanyce,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bagal Jean,FRA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
Bagattin Dino,FRA,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Bagaunca Kleber,FRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bagautinov Ali,RUS,0.0,0.0,0.0,5.0,1.0,5.0,0.0,0
Bagautinov Artur,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bagbe Ritchie,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bagda Mehdi,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bagdonas Marius,RUS,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Baggett David,RUS,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0
Baggett Will,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baghdad Mehdi,FRA,0.0,0.0,0.0,8.0,2.0,3.0,1.0,0
Baghdasaryan Melsik,ARM,7.0,1.0,0.0,5.0,0.0,0.0,1.0,0
Bagherdai Sofia,ARM,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0
Bagheri Mehdi,ARM,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bagin Roman,ARM,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baginski Piotr,ARM,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
Bagley Nik,ENG,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Bagnasco Giovanni,ENG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bagnasco Tom,USA,3.0,3.0,0.0,0.0,1.0,3.0,2.0,0
Bagov Ali,RUS,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0
Bagshaw Matt,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bahadur Suraj,RUS,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Bahadurzada Siyar,AFG,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0
Bahaj Abdul,AFG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bahamondes Ignacio,AFG,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0
Bahari Mohsen,NOR,9.0,4.0,0.0,3.0,1.0,3.0,1.0,0
Bahati Yannick,ENG,9.0,6.0,0.0,4.0,4.0,4.0,1.0,0
Baheibieke Wulakibieke,ENG,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bahetihan Nuerdebieke,ENG,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0
Bahia Milton,ENG,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bahia Nailson,ENG,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bahn Chris,ENG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bahnicek Jaroslav,ENG,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bahnik Jakub,CZE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bahntge Matt,USA,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0
Bai Minghui,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Baier Johannes,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bailes Anthony,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bailey Brandon,USA,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0
Bailey Chelsea,USA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bailey Curtis,USA,1.0,3.0,0.0,0.0,1.0,1.0,2.0,0
Bailey Gerald,USA,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0
Bailey Jared,USA,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Bailey Jeff,USA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Bailey Jordan,USA,6.0,5.0,0.0,1.0,0.0,4.0,1.0,0
Bailey Justin,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bailey Richard,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bailey Shamar,USA,0.0,0.0,0.0,5.0,5.0,3.0,1.0,0
Bailey Stephen,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bailey Tony,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bailey Willow,USA,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Baines C.J.,USA,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0
Baino Gabriel,USA,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0
Bains CJ,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bair Brian,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baisarov Ibragim,FRA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baiturbaeva Akjarkyn,FRA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Baizakov Zharkyn,FRA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Baize Joe,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baize Joseph,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bajor Szymon,POL,0.0,0.0,0.0,4.0,1.0,9.0,2.0,0
Bak Gracjan,POL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bak Soren,DEN,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0
Bakaev Adam,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bakanowski Jay,RUS,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0
Bakanyan Armen,RUS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Bakardjiev Miroslav,RUS,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Bakary El Anwar,RUS,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baker Beau,RUS,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0
Baker Bryan,RUS,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0
Baker Dustin,RUS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
Baker Glen,USA,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0
Baker Josh,USA,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Baker Kyle,USA,1.0,5.0,0.0,0.0,1.0,1.0,3.0,0
Baker Matt,CAN,0.0,0.0,0.0,5.0,2.0,6.0,7.0,0
Baker Myron,CAN,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0
Baker Nathaniel,CAN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baker Nick,CAN,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
Baker Peter,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baker Scott,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baker Sean,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baker Steven,USA,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0
Baker Zane,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bakhshiev Vugar,USA,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0
Bakhtiyar Azad,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bakhtorazov Murat,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bakiev Kanybek,USA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Bakiev Murad,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bakirdinova Nurali,RUS,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Bakocevic Vaso,MTG,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0
Bal Sergei,MTG,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Balaban Ertan,MTG,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Balachinskiy Suren,MTG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Balaev Marat,RUS,9.0,2.0,0.0,1.0,0.0,1.0,1.0,0
Balakhonov Andrei,UKR,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Balanta Cesar,UKR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Balart Gustavo,CUB,9.0,4.0,0.0,1.0,2.0,0.0,0.0,0
Balas Don,CUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Balashov Pavel,RUS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Balasz Norbert,SVK,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Balataev Mavlonzhon,SVK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Balayev Nurazy,SVK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Balbi Adriano,SVK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Balbin Arnold,SVK,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Balby Adriano,BRA,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
Balcer Marc,BRA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Balci Faith,GER,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Balci Fatih,GER,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Baldan Renata,BRA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Balde Boubacar,FRA,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0
Balderrama Edgar,MEX,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baldilovar Arven,MEX,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baldivia Marcus,MEX,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Baldree Jonathan,MEX,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baldutti William,MEX,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
Baldwin Mike,MEX,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Balejko Wojciech,POL,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0
Balemaken Lenou Victoire,CMR,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Balestra Jacopo,CMR,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Balewicz Ray,CMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Balica Victor,CMR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Balicki Robert,CMR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Balijagic Berin,CMR,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Balin Laura,ARG,0.0,0.0,0.0,4.0,1.0,5.0,2.0,0
Balkenbush Casey,ARG,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ball Brandon,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ball Caleb,USA,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ball Jason,USA,2.0,9.0,0.0,0.0,1.0,0.0,2.0,0
Ball Marshon,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Ball T.J.,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Balla Zsolt,USA,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0
Ballantine Seth,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ballard Boyd,USA,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0
Balletto Jr. Gary,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Balliet Asia,USA,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Ballingall Ryan,USA,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0
Ballinger Gerrald,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Ballou Alexandra,USA,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Ballou Donnie,USA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Balmaceda Cesar,USA,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0
Bals Maria,FRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Balsamo Christian,ITA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Balschmieter Andre,ITA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Baltazar Diego,MEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Baltazar German,MEX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Baltimore Peter,MEX,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0
Balyants Arsen,RUS,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0
Balzano Tom,USA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bamadaliev Temirulan,USA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
Bamgbala Lola,USA,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0
Bamgbose Oluwale,NGR,6.0,4.0,0.0,6.0,3.0,0.0,0.0,0
Banaitis Deividas,NGR,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Bananada Cristiano,BRA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Banario Honorio,PHI,0.0,0.0,0.0,4.0,3.0,6.0,5.0,0
