Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Xavier Rafael,BRA,0.0,0.0,0.0,0,0
Xavier Rubens,BRA,0.0,0.0,1.0,0,1
Xavier Samuel,BRA,0.0,0.0,0.0,0,1
Xhema Kastriot,USA,0.0,2.0,2.0,0,1
Xia Mingquan,USA,0.0,0.0,0.0,0,0
Xiao Long,USA,0.0,4.0,3.0,5,0
Xiao Long,USA,0.0,0.0,0.0,0,0
Xiaonan Yan,CHN,0.0,5.0,1.0,0,1
Xie Chao,CHN,0.0,0.0,0.0,0,1
Xie Jie,CHN,0.0,0.0,0.0,0,1
Xie Junpeng,CHN,0.0,0.0,0.0,2,0
Xie Wei,CHN,0.0,0.0,0.0,0,0
Xin Fu Chang,CHN,0.0,1.0,0.0,0,1
Xiong Jingnan,CHN,0.0,0.0,0.0,1,1
Xiong Long,CHN,0.0,0.0,0.0,0,1
Xu Honghao,CHN,0.0,0.0,0.0,0,0
Xu Jia,CHN,0.0,0.0,1.0,0,0
Xu Yonghao,CHN,0.0,0.0,0.0,0,1
Xuan Pengfei,CHN,0.0,0.0,0.0,0,1
Xue Guobin,CHN,0.0,0.0,0.0,0,1
